Question,1,2,3,Correct Answer
"In a pool hall, firewood' is often used as slang for what?",Cheap pool cue,Uneven pool table,Trick shot,Cheap pool cue
What nation's currency shares its name with an iconic Sylvester Stallone character?,Panama,Romania,Turkmenistan,Panama
"In 1943, Major League Baseball stopped using what material in game balls?",Rubber,Yarn,Cork,Rubber
Chat app Airtime was launched by the founder of what startup?,Napster,Myspace,Blogger,Napster
The Notorious B.I.G. shares his real last name with the lead character in which film?,Braveheart,Amadeus,Malcolm X,Braveheart
Which of these Hugh Grant movies is rated R?,Love Actually,About a Boy,Notting Hill,Love Actually
Which of these is a popular movie theater snack?,Popcorn,Clam chowder,Boiled hog knuckles,Popcorn
Which of these words was used for a long time to refer to the letter Z'?,Izzard,Zephyr,Zelda,Izzard
What was the name of Calvin's schoolteacher in the comic Calvin and Hobbes'?,Miss Wormwood,Ms. Braithwaite,Mrs. Crassbender,Miss Wormwood
"According to the U.S. government, which of these is correct?",Daylight Saving Time,Daylight Savings Time,Daylight Saving's Time,Daylight Saving Time
What implement would you use to sweep dust from a floor?,Broom,Saucepan,Pliers,Broom
"When the world's oldest subway system opened, which was one of the stations?",Farringdon Street,Union Square,Porte de Vincennes,Farringdon Street
Thomas Edison once set up a company to build affordable housing made out of what?,Concrete,Rubber,Plastic foam,Concrete
The early computer program OXO' played what game?,Tic-tac-toe,Minesweeper,Checkers,Tic-tac-toe
Which name does NOT typically appear on the label of a bottle of Tabasco sauce?,Charpentier,McIlhenny,Avery,Charpentier
Where did the famous gentleman's agreement' to end the U.S. Civil War take place?,Virginia,North Carolina,Georgia,Virginia
Which of these NBA teams has a female owner?,Lakers,Timberwolves,Pacers,Lakers
"Botanically speaking, what type of fruit is an avocado?",Berry,Gourd,Citrus,Berry
Lady Godiva allegedly disrobed and rode a horse through the streets to oppose what?,Taxation,French influence,Religious decree,Taxation
Which brand of sparkling water was commercially introduced first?,Schweppes,Perrier,S.Pellegrino,Schweppes
"During part of the Cold War, what city's MLB team added the word legs' to its name?",Cincinnati,Pittsburgh,Boston,Cincinnati
Which of these U.S. presidents was NEVER a vice president?,Herbert Hoover,Richard Nixon,Gerald Ford,Herbert Hoover
The skincare brand Aesop shares its name with a legendary what?,Fabulist,King,Farmer,Fabulist
"By definition, an ambulatory person is what?",Walking,Making sounds,Hospital-bound,Walking
"In western media, what are astronauts from China called?",Taikonauts,Sinonauts,Spationauts,Taikonauts
San Francisco's Waldo Tunnel was renamed in 2016 after a noted what?,Actor,Politician,Athlete,Actor
Where on the body would you find the manipura chakra?,Over the belly button,Within the heart,Between the eyes,Over the belly button
Which of these words likely came into English through Yiddish?,Glitch,Ritzy,Kerfuffle,Glitch
Where is carpeting most commonly installed?,Floors,Walls,Roofs,Floors
Which of these is a popular form of live comedy?,Stand-up,Run-around,Lie-down,Stand-up
Which of these is a synonym for the opposite of a financial bull market?,Ursine market,Taurine market,Porcine market,Ursine market
What form of singing was historically used to communicate between mountaintops?,Yodeling,Opera arias,Gregorian chanting,Yodeling
Which piece of clothing is meant to protect your head from the cold?,Earmuffs,Giant clock necklace,Toe socks,Earmuffs
"In total, Britain has just over 9,800 miles of which of the following?",Railways,Motorways,Canals,Railways
For which movie did Tom Hanks receive his most recent acting Oscar nomination?,Cast Away,Captain Phillips,Bridge of Spies,Cast Away
Which of these web services was developed in the Noughties by a Russian schoolboy?,ChatRoulette,Bebo,MySpace,ChatRoulette
Which of these is the name of an English Test cricket ground?,The Oval,The Rectangle,The Trapezium,The Oval
For which of these movies did Meryl Streep NOT win an Oscar?,Out of Africa,Sophie's Choice,The Iron Lady,Out of Africa
"Which Justin Timberlake hit contains the line ""she\'s flawless like some uncut ice""?",Lovestoned,Senorita,Like I Love you,Lovestoned
Armenia and Estonia are former members of which group of countries?,Soviet Union,United States,United Kingdom,Soviet Union
Which of these authors was over 50 when his first novel was published?,Richard Adams,J.R.R. Tolkien,Robert Ludlum,Richard Adams
"As of 2017, which of these industries had the highest percentage of the UK's GDP?",Service,Travel,Construction,Service
Which character does Jude Law play in the movie King Arthur: Legend of the Sword'?,Vortigern,Uther Pendragon,King Arthur,Vortigern
What part of the body is damaged if you break your tibia?,Leg,Arm,Scalp,Leg
What term is used for both a formal set of clothes and a set of playing cards?,Suit,Waistcoat,Tuxedo T-shirt,Suit
Which band had a member with the same stage name as a Revolutionary War admiral?,Led Zeppelin,Pink Floyd,The Kinks,Led Zeppelin
How do you find the reciprocal of a number?,Divide 1 by the number,Square the number,Subtract it from zero,Divide 1 by the number
Which of these liquids comes from an udder?,Milk,Apple juice,Coffee,Milk
Which baseball player is NOT mentioned in Billy Joel's We Didn't Start the Fire'?,Jackie Robinson,Mickey Mantle,Roy Campanella,Jackie Robinson
Which CEO runs the NASDAQ-listed company with the highest market cap?,Tim Cook,Jeff Bezos,Satya Nadella,Tim Cook
"In the classic edition of Monopoly, which word appears in the name of two different spaces?",Pennsylvania,Pacific,North,Pennsylvania
Who did NOT win back-to-back Best Actor Oscars?,James Stewart,Spencer Tracy,Tom Hanks,James Stewart
A person writing clearly and correctly is often said to be following Strunk and' whom?,White,Follett,Robert,White
What animal is traditionally the source of fried calamari?,Squid,Eel,Octopus,Squid
The opening ceremonies of the Olympics have NOT won which major award?,Tony,Emmy,Grammy,Tony
The Universalis Cosmographia is the first known map to feature what?,The term 'America',Compass rose,Circumnavigable Earth,The term 'America'
Which of these biblical names was most popular for American babies in 2016?,Benjamin,Jacob,Elijah,Benjamin
Cinnamon is the primary flavoring of which liqueur?,Goldschl\xc3\xa4ger,Frangelico,Drambuie,Goldschl\xc3\xa4ger
Which of these is an accurate statement about typhoons?,Type of cyclone,Originate as monsoons,Form south of equator,Type of cyclone
Medicine you can buy without a prescription is said to be available over-the-what?,Counter,Transom,Rainbow,Counter
"In theater, what phrase means good luck'?",Break a leg,Kick the bucket,Cut a rug,Break a leg
Go Blue!' is the rallying cry of what university's sports team?,U of Michigan,Michigan State,Ohio State,U of Michigan
Which of these is a part of the heart?,Aorta,Albedo,Avuncular,Aorta
Which company was named after its founder's unusual hairstyle?,Kinko's,Red Robin,Miracle-Gro,Kinko's
The top prize in architecture is named for the creator of what hotel chain?,Hyatt,Sheraton,Four Seasons,Hyatt
Which of these games is typically played using a deck with the fewest cards?,Euchre,Cribbage,Pinochle,Euchre
Matt Damon &amp Ben Affleck appear uncredited in which baseball movie?,Field of Dreams,Moneyball,Fever Pitch,Field of Dreams
The longest-serving senator currently in office has been re-elected how many times?,Seven times,Four times,Nine times,Seven times
Which of these terms does NOT refer to a sea slug?,Sea pig,Sea hare,Nudibranch,Sea pig
Daku is the pseudonym of a street artist known for his work in what city?,New Delhi,Tokyo,London,New Delhi
A stylized depiction of the Matterhorn is featured in what corporate logo?,Toblerone,Paramount Pictures,The North Face,Toblerone
The popular abbreviation TFW usually stands for what?,That Feeling When," Too Funky, World",The Funniest Week,That Feeling When
Which of these titles is currently held by nobody?,Duke of Windsor,Duke of Kent,Duke of Gloucester,Duke of Windsor
Which fitness brand was established first?,NordicTrack,Bowflex,Thighmaster,NordicTrack
Which is NOT a correct pairing of tablet and tablet maker?,Streak / Toshiba,ATIV / Samsung,Xoom / Motorola,Streak / Toshiba
"In baseball, Mendoza line' is a nickname for what?",.200 batting average,Rubber on pitching mound,Hard-hit ball,.200 batting average
Which animal is NOT depicted in Rembrandt's The Night Watch'?,Mouse,Chicken,Dog,Mouse
Which of these toys has NOT been to space?,Etch A Sketch,Slinky,Lego,Etch A Sketch
What rating does Dudley Moore give Bo Derek's character in the film 10'?,Higher than ten,Lower than ten,Ten,Higher than ten
Microblading eyebrows essentially consists of doing what?,Drawing them in,Trimming them,Plucking them,Drawing them in
The mosaic pavement streets of Rio de Janeiro contain numerous examples of what?,QR codes,Google Doodles,Emoji,QR codes
"According to the Chinese zodiac, 2018 is now officially the Year of the what?",Dog,Surly Neighbor,Careless Whisper,Dog
The Herm\xc3\xa8s Birkin handbag was born thanks to a random meeting where?,On an airplane,At a museum,In a restaurant,On an airplane
Which of these is NOT a defunct Yahoo product?,Leap,Buzz,Mash,Leap
Which of these is a common type of salad?,Caesar salad,Cedar salad,Scenic salad,Caesar salad
What TV acting award has Julia Louis-Dreyfus won the fewest number of times?,Golden Globe,Primetime Emmy,SAG Award,Golden Globe
"In Pulp Fiction,' Samuel L. Jackson claims his iconic monologue comes from what book of the Bible?",Ezekiel,Leviticus,Exodus,Ezekiel
During which holiday are the most greeting cards in the U.S. sold?,Christmas,Valentine's Day,Mother's Day,Christmas
Which of these animals has a species named after Ferdinand Magellan?,Penguin,Otter,Dolphin,Penguin
Who is the reigning monarch of Great Britain?,Queen Elizabeth,Prince Paul,King Koopa,Queen Elizabeth
What Canadian city aptly takes its name from a Cree term for muddy water'?,Winnipeg,Ottawa,Toronto,Winnipeg
"In 1'7, Alabama's state bar association put up a monument to whom?",Atticus Finch,John Grisham,William Jennings Bryan,Atticus Finch
Aaron Sorkin &amp Quentin Tarantino helped write the screenplay to which movie?,The Rock,Con Air,Face/Off,The Rock
"Who is Robert Downey, Jr.'s father?"," Robert Downey, Sr. ",Chet Downey III," Morton Downey, Jr."," Robert Downey, Sr. "
The 2008 Olympics were the first time the medals contained what material?,Jade,Amber,Coral,Jade
The painting Washington Crosses the Delaware' has appeared on which state quarter?,New Jersey,Delaware,Washington,New Jersey
Which of these is NOT part of the three-word Olympic motto?,Thicker,Higher,Faster,Thicker
Which voice actor from The Emperor's New Groove' was once blacklisted in Hollywood?,Eartha Kitt,Wendie Malick,Tom Jones,Eartha Kitt
Who famously painted the ceiling of the Sistine Chapel?,Michelangelo,Bob Ross,Mr. Brainwash,Michelangelo
Which of these Adam Sandler movies has a female director?,Billy Madison,The Wedding Singer,Big Daddy,Billy Madison
Which of these is an alveolar disorder?,Pneumonia,Strep throat,Psoriasis,Pneumonia
Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Dante Alighieri,Michelangelo,Auguste Rodin,Dante Alighieri
Which of these products is a depilatory?,Nair,Rogaine,Pomade,Nair
Which animals race at the Kentucky Derby?,Horses,Wiener dogs,Locusts,Horses
The westernmost region of Russia touches which of these countries?,Poland,Norway,Ukraine,Poland
Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Heat pump,Nerf Blaster rival,Efficient sprinklers,Heat pump
Which of the following is NOT used to describe someone from that particular state?,Wisconsinian,Utahn,Connecticuter,Wisconsinian
King Louis XIV's Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Silver,Ivory,Ebony,Silver
Which chemical compound would you NOT use to create red and blue fireworks?,Sodium nitrate,Strontium carbonate,Copper chloride,Sodium nitrate
"Among U.S. astronauts, what distinction does Sally Ride have?",Youngest to go to space,Most missions flown,3a6 https://t.co/tMcRTnD7Iu,Youngest to go to space
